Program_Name,URL
Actuarial Science,https://future.utoronto.ca/undergraduate-programs/actuarial-science/
Advanced Manufacturing,https://future.utoronto.ca/undergraduate-programs/advanced-manufacturing/
African Studies,https://future.utoronto.ca/undergraduate-programs/african-studies/
American Studies,https://future.utoronto.ca/undergraduate-programs/american-studies/
Animal Physiology,https://future.utoronto.ca/undergraduate-programs/animal-physiology/
Anthropology (HBA),https://future.utoronto.ca/undergraduate-programs/anthropology-hba/
Anthropology (HBSc),https://future.utoronto.ca/undergraduate-programs/anthropology-hbsc/
Anthropology (Health Sciences Stream),https://future.utoronto.ca/undergraduate-programs/anthropology-health-sciences-stream/
Applied Climatology,https://future.utoronto.ca/undergraduate-programs/applied-climatology/
Applied Mathematics,https://future.utoronto.ca/undergraduate-programs/applied-mathematics/
Applied Statistics,https://future.utoronto.ca/undergraduate-programs/applied-statistics/
Archaeology,https://future.utoronto.ca/undergraduate-programs/archaeology/
Architectural Studies,https://future.utoronto.ca/undergraduate-programs/architectural-studies/
Art and Art History (Joint Program with Sheridan College),https://future.utoronto.ca/undergraduate-programs/art-and-art-history-joint-program-with-sheridan-college/
Art History,https://future.utoronto.ca/undergraduate-programs/art-history/
Artificial Intelligence Engineering,https://future.utoronto.ca/undergraduate-programs/artificial-intelligence-engineering/
Arts Management,https://future.utoronto.ca/undergraduate-programs/art-management/
Asian Canadian Studies,https://future.utoronto.ca/undergraduate-programs/asian-canadian-studies/
Astronomical Sciences,https://future.utoronto.ca/undergraduate-programs/astronomical-sciences/
Astronomy,https://future.utoronto.ca/undergraduate-programs/astronomy/
Astronomy and Astrophysics,https://future.utoronto.ca/undergraduate-programs/astronomy-and-astrophysics/
Astronomy and Physics,https://future.utoronto.ca/undergraduate-programs/astronomy-and-physics/
Biochemistry,https://future.utoronto.ca/undergraduate-programs/biochemistry/
Biochemistry (Health Sciences Stream),https://future.utoronto.ca/undergraduate-programs/biochemistry-health-sciences-stream/
Biodiversity and Conservation Biology,https://future.utoronto.ca/undergraduate-programs/biodiversity-and-conservation-biology/
Bioengineering,https://future.utoronto.ca/undergraduate-programs/bioengineering/
Bioethics,https://future.utoronto.ca/undergraduate-programs/bioethics/
Bioinformatics,https://future.utoronto.ca/undergraduate-programs/bioinformatics/
Bioinformatics and Computational Biology,https://future.utoronto.ca/undergraduate-programs/bioinformatics-and-computational-biology/
Biological Chemistry,https://future.utoronto.ca/undergraduate-programs/biological-chemistry/
Biological Physics,https://future.utoronto.ca/undergraduate-programs/biological-physics/
